"";"tuman_author";"tuman_authorb";"tu_warningauthor1";"tu_warningauthor2";"tu_warningauthor3";"tu_warningauthor1b";"tu_warningauthor2b";"tu_warningauthor3b";"tu_warningext1";"tu_warningext2";"tu_warningext3";"tu_warningext1b";"tu_warningext2b";"tu_warningext3b";"tu_manext";"tu_manextb";"tu_manpre";"tu_manpreb";"tu_manpeer";"tu_manpeerb";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"gender";"gender_3_TEXT";"age";"knowledge_peerreview";"knowledge_preprints";"familiar";"education";"condition";"credibility"
"397";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;5;6;7;6;7;"2";"";53;"1";"1";6;4;"peer-review";6,2
"399";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;3;6;3;5;6;"2";"";46;"2";"2";3;3;"peer-review";4,6
"404";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;4;4;4;3;2;3;"2";"";43;"2";"2";1;4;"preprint_noinfo";3,8
"406";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;3;7;4;6;7;"1";"";35;"1";"1";6;2;"peer-review";4,8
"411";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;4;6;5;6;5;"1";"";27;"2";"1";5;4;"peer-review";4,8
"413";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"4";"";"";7;7;7;7;7;7;7;"2";"";46;"1";"2";7;3;"preprint_noinfo";7
"414";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;5;5;4;6;6;5;"1";"";30;"1";"1";5;3;"peer-review";5,4
"415";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;3;3;4;1;6;6;"2";"";42;"1";"2";4;2;"peer-review";2,8
"416";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;6;5;5;7;6;7;"2";"";34;"2";"2";7;4;"peer-review";5,8
"419";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;3;5;5;4;4;"2";"";48;"1";"2";3;3;"preprint_noinfo";4,8
"421";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;6;6;5;6;5;"1";"";48;"2";"2";5;2;"preprint_noinfo";5,8
"423";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;7;3;5;6;5;5;"2";"";54;"2";"2";3;3;"preprint_noinfo";5,2
"424";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"";"";6;5;6;6;7;6;5;"1";"";30;"2";"2";6;3;"preprint_noinfo";6
"430";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;3;5;4;1;2;3;"2";"";55;"1";"2";3;3;"preprint_noinfo";3,8
"431";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;2;1;7;2;2;2;"2";"";58;"1";"2";3;3;"peer-review";3,4
"433";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;2;3;5;5;6;"1";"";55;"1";"1";5;3;"peer-review";4,2
"436";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;3;3;5;5;4;4;"2";"";42;"2";"2";1;3;"peer-review";4,2
"440";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;6;6;5;6;5;"1";"";30;"1";"1";6;4;"peer-review";5,6
"445";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;3;1;3;2;2;4;"1";"";32;"1";"1";7;3;"peer-review";2,8
"453";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;6;1;3;4;3;4;"1";"";28;"1";"2";4;3;"peer-review";4
"455";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;3;4;5;5;3;4;"2";"";39;"1";"2";2;3;"peer-review";4,6
"456";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;1;6;6;1;7;7;"1";"";39;"2";"1";5;3;"preprint_noinfo";4
"458";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";1;7;5;5;1;3;4;"1";"";38;"1";"1";3;3;"preprint_noinfo";3,8
"466";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;2;2;3;2;2;4;"1";"";66;"1";"1";7;4;"preprint_noinfo";2,6
"473";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;3;5;5;3;4;"1";"";27;"2";"2";2;3;"preprint_noinfo";4,4
"476";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"5";5;3;5;4;2;5;6;"2";"";28;"2";"2";5;3;"peer-review";3,8
"478";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"5";7;7;7;6;6;7;6;"1";"";27;"2";"2";4;4;"peer-review";6,6
"479";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;4;2;5;2;2;4;"2";"";44;"1";"2";2;3;"preprint_noinfo";3,2
"482";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;4;4;3;5;2;4;"1";"";42;"2";"2";1;3;"peer-review";4,2
"484";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;4;3;5;6;4;5;"1";"";32;"1";"1";5;3;"peer-review";4,6
"485";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;2;6;3;2;1;2;"1";"";31;"2";"2";1;3;"preprint_noinfo";3,4
"490";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;6;3;6;5;5;4;"1";"";72;"1";"1";6;4;"peer-review";4,8
"499";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;2;1;7;6;6;6;"1";"";28;"1";"2";6;4;"peer-review";4,4
"501";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;3;5;4;1;2;"2";"";61;"1";"2";5;2;"preprint_noinfo";4,2
"503";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;7;1;4;1;5;6;"2";"";29;"1";"2";2;3;"preprint_noinfo";3,8
"508";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;6;4;5;5;6;"1";"";43;"2";"2";5;3;"preprint_noinfo";5,2
"509";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;3;2;6;2;3;2;"1";"";34;"1";"2";5;3;"preprint_noinfo";3,8
"513";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;7;1;7;1;7;7;"1";"";28;"2";"2";1;3;"preprint_noinfo";4,6
"515";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;7;3;6;5;5;4;"1";"";47;"1";"2";4;4;"peer-review";5
"517";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;5;6;3;4;4;5;"2";"";36;"1";"2";3;2;"preprint_noinfo";4,4
"521";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;6;3;5;5;2;3;"1";"";27;"1";"2";7;4;"preprint_noinfo";5,2
"522";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;4;1;6;4;2;4;"2";"";34;"2";"2";1;2;"peer-review";4,2
"523";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;6;5;4;6;6;"2";"";35;"1";"1";6;3;"peer-review";4,8
"526";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;6;6;6;5;6;"1";"";34;"1";"1";5;3;"peer-review";5,8
"528";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;3;2;6;6;6;6;"1";"";32;"2";"2";5;3;"peer-review";4,4
"529";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;3;2;7;4;2;5;"2";"";55;"2";"2";3;2;"preprint_noinfo";4,2
"530";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;2;6;3;3;4;"1";"";42;"1";"2";3;3;"preprint_noinfo";4
"531";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;4;4;2;2;2;2;"2";"";39;"1";"2";3;3;"preprint_noinfo";3
"533";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;6;4;7;7;7;7;"1";"";32;"2";"2";1;3;"preprint_noinfo";6,2
"534";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;5;6;7;6;6;"1";"";31;"2";"2";2;3;"peer-review";6,2
"536";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;5;6;6;6;6;"2";"";27;"1";"2";5;3;"peer-review";6
"544";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;2;4;3;3;3;"2";"";31;"1";"2";4;4;"preprint_noinfo";3,6
"547";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;2;4;4;4;4;"1";"";28;"1";"1";4;3;"peer-review";3,8
"556";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;3;3;6;4;5;5;"1";"";59;"1";"1";7;4;"preprint_noinfo";4,2
"557";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;4;1;5;2;2;2;"1";"";55;"1";"2";4;2;"peer-review";3,4
"558";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;7;4;3;6;4;"1";"";32;"1";"2";6;3;"peer-review";5
"561";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;3;6;4;5;5;"1";"";54;"2";"2";1;3;"preprint_noinfo";4,6
"562";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;3;3;5;2;4;"2";"";25;"1";"2";7;3;"preprint_noinfo";4,6
"566";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;3;1;2;6;6;"1";"";35;"2";"2";5;2;"preprint_noinfo";3
"573";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;4;3;7;3;2;"1";"";28;"2";"2";3;4;"peer-review";5
"577";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;7;5;3;7;7;7;"2";"";36;"2";"2";1;2;"peer-review";5,6
"578";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;1;7;1;3;4;"1";"";50;"1";"1";6;3;"peer-review";4,4
"580";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;4;4;5;6;6;"2";"";35;"1";"1";4;4;"preprint_noinfo";4,8
"583";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"4";"";"";7;3;5;7;7;6;7;"1";"";30;"1";"1";6;3;"preprint_noinfo";5,8
"588";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;6;7;6;7;7;"1";"";25;"1";"1";7;3;"peer-review";6,6
"589";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;5;6;5;6;6;"2";"";21;"1";"2";4;2;"peer-review";5
"591";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;4;4;5;4;4;4;"1";"";48;"2";"2";1;3;"peer-review";4,2
"594";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;6;4;6;5;4;5;"1";"";38;"1";"2";4;3;"peer-review";5,4
"597";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;2;4;7;7;6;3;"2";"";32;"2";"2";1;2;"preprint_noinfo";4,8
"600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;2;7;2;6;4;"2";"";54;"2";"2";1;3;"preprint_noinfo";4,6
"601";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;3;6;7;2;4;"2";"";57;"1";"2";2;2;"peer-review";5,8
"602";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;7;4;7;1;1;7;"2";"";38;"2";"2";1;3;"peer-review";4,6
"605";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;2;6;3;6;5;"1";"";76;"1";"2";3;3;"peer-review";4,4
"607";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;1;5;3;3;4;"1";"";29;"2";"2";2;4;"preprint_noinfo";3,8
"609";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;4;2;5;5;4;5;"2";"";53;"1";"2";2;4;"preprint_noinfo";4,4
"610";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"5";2;3;4;5;6;5;5;"2";"";44;"2";"1";1;3;"peer-review";4
"618";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";1;1;1;1;1;1;1;"2";"";26;"1";"2";7;4;"preprint_noinfo";1
"620";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;4;2;4;6;5;5;"1";"";22;"2";"2";3;2;"preprint_noinfo";4
"627";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;3;4;6;5;5;"2";"";26;"1";"2";5;3;"peer-review";4,8
"629";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";1;5;2;1;2;1;3;"1";"";31;"2";"2";2;3;"peer-review";2,2
"631";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;2;3;6;7;5;6;"2";"";67;"1";"2";6;3;"peer-review";4,8
"633";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;3;3;1;6;3;"2";"";39;"2";"2";1;2;"preprint_noinfo";3,6
"634";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;3;3;5;4;3;4;"2";"";30;"1";"2";4;2;"preprint_noinfo";4
"638";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;6;1;6;1;2;2;"2";"";68;"1";"2";4;3;"preprint_noinfo";3,6
"641";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;1;5;2;3;4;"2";"";31;"1";"2";3;2;"preprint_noinfo";3,6
"643";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;4;6;5;5;5;"2";"";39;"1";"2";4;2;"peer-review";5
"645";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;3;5;3;4;3;"1";"";33;"2";"2";2;2;"preprint_noinfo";4,2
"649";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;3;5;2;5;5;"1";"";71;"1";"2";4;3;"peer-review";4,2
"655";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;5;5;4;4;3;4;"2";"";30;"1";"2";2;2;"preprint_noinfo";4,2
"661";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;3;5;3;5;5;6;"1";"";33;"1";"2";4;4;"peer-review";4,2
"662";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;4;7;7;7;7;7;"1";"";45;"1";"2";5;3;"preprint_noinfo";6,4
"663";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;3;2;3;5;2;4;"2";"";30;"1";"2";2;3;"preprint_noinfo";3,2
"665";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;4;4;5;4;5;4;"1";"";40;"2";"2";1;4;"peer-review";4,4
"667";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;3;5;1;4;5;"2";"";24;"1";"2";5;3;"peer-review";4
"668";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;2;1;7;2;6;6;"1";"";49;"2";"2";1;2;"peer-review";3,4
"669";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;7;1;5;5;1;1;"1";"";53;"1";"2";2;4;"peer-review";4,2
"670";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;3;3;3;3;2;2;"1";"";38;"1";"1";4;4;"preprint_noinfo";2,8
"672";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;4;5;2;5;5;4;"1";"";28;"1";"2";4;4;"peer-review";4,2
"673";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;4;2;5;4;4;3;"1";"";43;"1";"2";3;3;"peer-review";4
"674";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;6;2;6;3;4;4;"2";"";60;"1";"2";3;4;"peer-review";4,2
"677";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;2;4;2;3;3;"2";"";49;"1";"2";3;3;"peer-review";3,6
"680";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;5;3;5;6;5;"1";"";43;"1";"1";5;3;"preprint_noinfo";5
"681";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;5;4;5;6;5;"1";"";39;"1";"1";6;2;"preprint_noinfo";5
"682";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;5;4;5;3;4;3;"1";"";44;"2";"2";2;2;"preprint_noinfo";3,8
"683";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;2;2;6;2;4;5;"1";"";58;"1";"2";2;3;"peer-review";3,6
"685";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;4;2;5;3;4;4;"2";"";46;"2";"2";3;3;"preprint_noinfo";3,6
"688";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;6;6;6;6;6;"1";"";32;"1";"1";6;4;"preprint_noinfo";6
"690";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;4;1;4;2;2;4;"1";"";34;"1";"2";2;2;"preprint_noinfo";2,8
"694";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;4;4;5;4;4;"1";"";46;"1";"1";6;3;"peer-review";4,4
"696";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;6;6;5;6;7;"1";"";38;"2";"2";4;3;"peer-review";6,2
"697";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;4;4;5;4;4;"1";"";30;"1";"2";4;3;"preprint_noinfo";4,8
"698";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;2;3;6;4;3;5;"2";"";58;"2";"2";3;3;"peer-review";3,8
"699";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;5;6;5;6;6;"1";"";37;"2";"2";4;3;"peer-review";5,4
"700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;4;5;5;6;5;"1";"";25;"1";"1";3;3;"peer-review";4,8
"703";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"4";"";"";6;4;2;6;5;5;5;"2";"";57;"2";"2";2;3;"preprint_noinfo";4,6
"704";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;1;3;3;6;6;"1";"";30;"1";"2";4;3;"peer-review";3,4
"708";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;2;5;4;4;3;"2";"";46;"1";"2";2;3;"peer-review";4
"709";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;4;5;2;4;5;"2";"";25;"2";"2";4;3;"peer-review";5
"711";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;3;1;4;2;3;3;"1";"";27;"1";"2";2;2;"preprint_noinfo";2,8
"712";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;4;6;4;5;4;"1";"";29;"2";"2";4;3;"peer-review";4,8
"713";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;3;3;6;3;3;3;"1";"";41;"2";"2";4;3;"preprint_noinfo";4
"720";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;4;6;4;5;6;"2";"";20;"2";"2";4;2;"preprint_noinfo";5
"721";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;1;6;3;3;3;"1";"";65;"1";"1";5;4;"peer-review";4
"730";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;7;2;7;7;6;6;"2";"";49;"1";"2";3;3;"peer-review";5,6
"731";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;5;6;5;5;5;4;"1";"";27;"1";"1";5;3;"preprint_noinfo";5
"734";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;3;3;3;3;1;3;"1";"";37;"1";"2";2;3;"preprint_noinfo";3
"736";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;7;7;7;7;7;7;"1";"";44;"1";"1";7;3;"preprint_noinfo";7
"741";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;5;6;6;6;5;"1";"";42;"2";"2";6;4;"preprint_noinfo";5,6
"743";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;7;2;7;5;6;7;"1";"";28;"1";"1";5;4;"peer-review";5,4
"744";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;3;4;3;4;5;"1";"";44;"1";"2";3;3;"peer-review";4,2
"746";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;4;1;7;2;6;6;"2";"";58;"1";"2";4;3;"peer-review";4,2
"747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;7;2;6;4;2;3;"1";"";27;"2";"2";1;3;"preprint_noinfo";4,8
"748";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"4";"";"";7;6;6;6;5;6;6;"1";"";54;"2";"1";6;3;"preprint_noinfo";6
"749";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;4;1;5;4;7;5;"2";"";30;"2";"2";1;3;"preprint_noinfo";3,6
"751";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;2;4;3;4;5;"1";"";64;"1";"2";4;3;"peer-review";3,8
"758";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;7;1;5;2;1;2;"1";"";42;"1";"2";3;3;"preprint_noinfo";4,2
"759";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;3;4;4;4;4;"1";"";38;"1";"2";7;4;"preprint_noinfo";4
"760";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;3;5;2;3;3;"2";"";38;"1";"2";5;3;"preprint_noinfo";3,8
"764";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;3;3;3;6;6;"1";"";48;"2";"2";5;4;"peer-review";4
"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;3;2;5;5;2;6;"2";"";35;"1";"2";5;4;"peer-review";3,6
"766";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;5;5;5;7;6;"2";"";61;"1";"1";7;4;"peer-review";5,2
"767";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;6;5;6;5;7;"1";"";25;"1";"1";3;4;"preprint_noinfo";5,6
"769";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;5;3;6;5;4;5;"2";"";60;"2";"2";2;2;"preprint_noinfo";4,6
"770";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;3;5;5;6;5;"1";"";59;"2";"2";4;2;"preprint_noinfo";5
"772";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;4;1;6;1;2;3;"2";"";45;"1";"2";5;2;"preprint_noinfo";3,6
"773";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;4;5;4;4;5;6;"1";"";28;"1";"2";3;3;"peer-review";4,4
"776";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;3;3;6;2;5;5;"2";"";34;"1";"2";2;3;"preprint_noinfo";3,6
"778";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;3;5;3;1;1;"1";"";62;"1";"1";2;3;"preprint_noinfo";4,2
"779";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;5;1;4;5;2;4;"2";"";37;"2";"2";1;3;"peer-review";4,4
"782";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;4;5;6;1;6;7;"1";"";32;"2";"2";2;3;"peer-review";4,6
"783";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;5;6;2;6;6;"1";"";33;"1";"2";6;4;"peer-review";5,2
"788";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;5;5;6;5;5;6;"1";"";35;"2";"2";2;2;"peer-review";4,8
"789";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;6;5;3;3;4;7;"1";"";26;"1";"1";4;3;"peer-review";4,2
"790";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;1;1;5;2;6;"1";"";25;"1";"2";2;2;"peer-review";4
"793";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;4;2;2;3;3;"1";"";27;"1";"2";4;4;"peer-review";3,6
"796";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;2;2;2;3;4;2;"2";"";25;"1";"1";5;2;"preprint_noinfo";2,4
"801";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;2;4;5;1;5;7;"2";"";54;"1";"2";2;4;"peer-review";3,6
"802";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;4;3;3;4;4;"1";"";40;"2";"2";6;4;"preprint_noinfo";4,2
